Hash value	Count	Expected Count
0	3258	3287
1	3293	3287
2	3352	3287
3	3301	3287
4	3310	3287
5	3270	3287
6	3194	3287
7	3270	3287
8	3215	3287
9	3311	3287
10	3271	3287
11	3328	3287
12	3308	3287
13	3259	3287
14	3195	3287
15	3288	3287
16	3290	3287
17	3322	3287
18	3359	3287
19	3268	3287
20	3401	3287
21	3204	3287
22	3215	3287
23	3231	3287
24	3334	3287
25	3250	3287
26	3159	3287
27	3277	3287
28	3436	3287
29	3317	3287
30	3282	3287
31	3330	3287
32	3244	3287
33	3294	3287
34	3328	3287
35	3286	3287
36	3231	3287
37	3276	3287
38	3372	3287
39	3239	3287
40	3242	3287
41	3188	3287
42	3299	3287
43	3341	3287
44	3258	3287
45	3333	3287
46	3361	3287
47	3322	3287
48	3337	3287
49	3286	3287
50	3374	3287
51	3326	3287
52	3337	3287
53	3338	3287
54	3256	3287
55	3379	3287
56	3257	3287
57	3243	3287
58	3267	3287
59	3286	3287
60	3203	3287
61	3438	3287
62	3304	3287
63	3282	3287
64	3338	3287
65	3426	3287
66	3275	3287
67	3317	3287
68	3190	3287
69	3281	3287
70	3216	3287
71	3356	3287
72	3264	3287
73	3263	3287
74	3319	3287
75	3292	3287
76	3224	3287
77	3253	3287
78	3375	3287
79	3366	3287
80	3268	3287
81	3242	3287
82	3322	3287
83	3243	3287
84	3336	3287
85	3177	3287
86	3247	3287
87	3245	3287
88	3287	3287
89	3263	3287
90	3276	3287
91	3240	3287
92	3349	3287
93	3335	3287
94	3272	3287
95	3318	3287
96	3239	3287
97	3302	3287
98	3292	3287
99	3332	3287
100	3313	3287
101	3238	3287
102	3409	3287
103	3243	3287
104	3287	3287
105	3367	3287
106	3274	3287
107	3176	3287
108	3161	3287
109	3288	3287
110	3253	3287
111	3121	3287
112	3383	3287
113	3190	3287
114	3146	3287
115	3260	3287
116	3307	3287
117	3354	3287
118	3309	3287
119	3305	3287
120	3334	3287
121	3181	3287
122	3420	3287
123	3302	3287
124	3283	3287
125	3403	3287
126	3242	3287
127	3255	3287
Hash value mean: 63.4807, expected: 63.5000
Hash value standard deviation: 36.9262, expected: 36.9493
Collision probability: 0.007813, expected: 0.007812
