task_id,seed,m,estimate,workers,time
2,0x9747b28e,1024,276520.5073634498,16,14.801348686218262
0,0x9747b28c,1024,290393.1380206404,16,14.883220911026001
8,0x9747b294,1024,276786.42128516134,16,17.29923439025879
4,0x9747b290,1024,285525.2838703001,16,18.192150592803955
3,0x9747b28f,1024,292319.0205045497,16,18.285449504852295
13,0x9747b299,1024,279827.05722218344,16,14.210884809494019
14,0x9747b29a,1024,270009.2801580713,16,14.346700191497803
15,0x9747b29b,1024,302416.53333438525,16,17.62363910675049
17,0x9747b29d,1024,279455.1331298118,16,17.88090229034424
16,0x9747b29c,1024,289970.75152166875,16,18.10694646835327
1,0x9747b28d,1024,297572.7690953853,16,14.0420081615448
19,0x9747b29f,1024,275137.0159353479,16,14.24410605430603
18,0x9747b29e,1024,287960.98321018426,16,14.3404061794281
10,0x9747b296,1024,281259.78757690184,16,18.123366117477417
11,0x9747b297,1024,267934.5673686846,16,18.22655153274536
20,0x9747b2a0,1024,286909.5335640792,16,17.77467370033264
21,0x9747b2a1,1024,290751.33192989527,16,15.152504444122314
22,0x9747b2a2,1024,291024.21925911703,16,15.512642621994019
23,0x9747b2a3,1024,281146.53858241613,16,14.51072382926941
24,0x9747b2a4,1024,293766.6086509647,16,14.37495231628418
25,0x9747b2a5,1024,295169.4281995651,16,18.17000389099121
27,0x9747b2a7,1024,290954.69387127727,16,18.005430936813354
30,0x9747b2aa,1024,294966.7780091779,16,14.128520250320435
29,0x9747b2a9,1024,273988.2335785209,16,14.325416088104248
9,0x9747b295,1024,278105.57656117773,16,18.119185209274292
31,0x9747b2ab,1024,298025.037029626,16,14.480519771575928
28,0x9747b2a8,1024,281127.0969288102,16,17.728842735290527
32,0x9747b2ac,1024,293654.3450036221,16,14.062780380249023
33,0x9747b2ad,1024,269356.4369571965,16,18.25533699989319
35,0x9747b2af,1024,277253.40358481515,16,14.336971282958984
34,0x9747b2ae,1024,286030.0681421096,16,18.197885036468506
37,0x9747b2b1,1024,281227.58898301836,16,14.189533948898315
36,0x9747b2b0,1024,263908.9323103722,16,14.362154006958008
40,0x9747b2b4,1024,290069.01080051524,16,14.371769428253174
12,0x9747b298,1024,295833.8281164876,16,18.311832427978516
43,0x9747b2b7,1024,277411.3574645644,16,14.322227478027344
41,0x9747b2b5,1024,298781.3726480354,16,18.328822135925293
42,0x9747b2b6,1024,285609.4838759376,16,17.76721429824829
44,0x9747b2b8,1024,282836.1503596472,16,14.140484809875488
26,0x9747b2a6,1024,276749.6797647027,16,14.38559865951538
48,0x9747b2bc,1024,284080.25224693626,16,14.281903266906738
47,0x9747b2bb,1024,297210.78646561975,16,17.920818328857422
38,0x9747b2b2,1024,293417.6858912881,16,17.86840796470642
51,0x9747b2bf,1024,285209.3081215512,16,14.081153869628906
49,0x9747b2bd,1024,287834.8626534373,16,18.260040521621704
5,0x9747b291,1024,302365.5178885517,16,17.883562564849854
50,0x9747b2be,1024,286944.553430621,16,18.142603874206543
52,0x9747b2c0,1024,286054.1573895314,16,14.401308298110962
53,0x9747b2c1,1024,289225.1794986352,16,14.320690393447876
54,0x9747b2c2,1024,292076.64708746603,16,14.190199613571167
46,0x9747b2ba,1024,277505.8079514786,16,14.422932386398315
55,0x9747b2c3,1024,289742.2153931638,16,14.159846782684326
56,0x9747b2c4,1024,288976.57567432214,16,17.66629147529602
57,0x9747b2c5,1024,275570.83598239487,16,17.998053312301636
58,0x9747b2c6,1024,288552.9895050904,16,18.07748579978943
61,0x9747b2c9,1024,294923.95379702136,16,14.175044775009155
60,0x9747b2c8,1024,288412.54241359927,16,17.82976198196411
62,0x9747b2ca,1024,285826.07906661887,16,14.185958623886108
39,0x9747b2b3,1024,287264.70037857624,16,18.387106895446777
64,0x9747b2cc,1024,286666.5007254806,16,14.237558126449585
63,0x9747b2cb,1024,291133.1967158074,16,14.367403030395508
65,0x9747b2cd,1024,281204.0811782394,16,14.106307029724121
6,0x9747b292,1024,279772.9542433018,16,17.607426404953003
66,0x9747b2ce,1024,280632.1236095165,16,17.683624505996704
68,0x9747b2d0,1024,276288.149083376,16,14.221857070922852
45,0x9747b2b9,1024,283674.58321686805,16,14.250767230987549
